sample,chromosome,start,end,segVal
P02,5,177000001,181300000,4
P02,6,400001,700000,4
P02,6,700001,4500000,5
P02,6,4500001,6400000,6
P02,6,6400001,18600000,5
P02,6,18600001,21300000,6
P02,6,21300001,22800000,5
P02,6,22800001,33700000,6
P02,6,33700001,38200000,5
P02,6,38200001,42400000,6
P02,6,42400001,52600000,5
P02,6,52600001,55200000,6
P02,6,55200001,66400000,5
P02,6,66400001,66600000,6
P02,6,66600001,66900000,7
P02,6,66900001,67000000,6
P02,6,67000001,67400000,5
P02,6,67400001,68600000,4
P02,6,68600001,170600000,3
P02,7,1,1600000,3
P02,7,1600001,2800000,4
P02,7,2800001,4000000,5
P02,7,4000001,141300000,4
P02,7,141300001,144200000,5
P02,7,144400001,158500000,4
P02,7,158500001,159200000,3
P02,8,500001,43200000,3
P02,8,43600001,43800000,6
P02,8,46100001,48100000,7
P02,8,48100001,61000000,6
P02,8,61000001,63900000,7
P02,8,63900001,66400000,6
P02,8,66400001,67400000,5
P02,8,67400001,90100000,6
P02,8,90100001,92400000,7
P02,8,92400001,94300000,6
P02,8,94300001,95200000,5
P02,8,95200001,101200000,6
P02,8,101200001,102100000,7
P02,8,102100001,104700000,6
P02,8,104700001,109200000,7
P02,8,109200001,115300000,6
P02,8,115300001,118900000,7
P02,8,118900001,122100000,6
P02,8,122100001,139700000,7
P02,8,139700001,141500000,6
P02,8,141500001,142700000,7
P02,8,142700001,143900000,6
P02,8,143900001,145000000,5
P02,9,200001,136400000,4
P02,9,136400001,138100000,3
P02,10,100001,1600000,3
P02,10,1600001,36400000,4
P02,10,36500001,36900000,3
P02,10,37000001,67800000,4
P02,10,67800001,72500000,3
P02,10,72500001,119600000,4
P02,10,119600001,120000000,3
P02,10,120000001,133600000,4
P02,11,200001,39800000,4
P02,11,39800001,44600000,5
P02,11,44600001,127400000,4
P02,11,127400001,129800000,5
P02,11,129800001,135086622,4
P02,12,100001,131800000,4
P02,12,131800001,133275309,3
P02,13,18900001,111500000,4
P02,13,111500001,114364328,3
P02,14,20000001,20700000,3
P02,14,20700001,34400000,4
P02,14,34400001,35900000,3
P02,14,35900001,73000000,4
P02,14,73000001,75300000,3
P02,14,75300001,106900000,4
P02,15,22800001,57100000,4
P02,15,57100001,64000000,3
P02,15,64000001,101800000,4
P02,16,1,9200000,4
P02,16,9200001,20100000,5
P02,16,20100001,28600000,4
P02,16,28800001,46600000,3
P02,16,46600001,77800000,4
P02,16,77800001,80500000,5
P02,16,80500001,90100000,4
P02,17,200001,21400000,4
P02,17,22600001,32900000,5
P02,17,32900001,35800000,6
P02,17,35800001,48600000,5
P02,17,48600001,51300000,4
P02,17,51300001,53400000,5
P02,17,53400001,56600000,6
P02,17,56600001,69000000,5
P02,17,69000001,74500000,6
P02,17,74500001,79200000,5
P02,17,79200001,79600000,6
P02,17,79600001,82000000,5
P02,17,82000001,82900000,4
P02,17,82900001,83200000,3
P02,18,200001,600000,3
P02,18,600001,7100000,4
P02,18,7100001,7200000,5
P02,18,7200001,7500000,6
P02,18,7500001,7600000,5
P02,18,7600001,10100000,4
P02,18,10100001,21800000,3
P02,18,21800001,33600000,4
P02,18,33600001,45800000,5
P02,18,45800001,80300000,4
P02,19,300001,700000,4
P02,19,700001,4200000,3
P02,19,4200001,10300000,4
P02,19,10300001,14500000,3
P02,19,14500001,41700000,4
P02,19,41700001,42100000,5
P02,19,42100001,58600000,4
P02,20,1,51900000,4
P02,20,51900001,56600000,5
P02,20,56600001,64300000,4
P02,21,10200001,41500000,4
P02,21,41500001,46600000,3
P02,21,46600001,46700000,4
P02,22,16900001,47100000,4
P02,22,47100001,50700000,3
P03,1,900001,87200000,2
P03,1,87200001,154500000,3
P03,1,154500001,156000000,2
P03,1,156000001,215200000,3
P03,1,215200001,248900000,2
P03,2,1,242100000,2
P03,3,100001,198100000,2
P03,4,100001,189500000,2
P03,5,100001,43000000,3
P03,5,43000001,181300000,2
P03,6,400001,2100000,2
P03,6,2100001,48200000,3
P03,6,48200001,170600000,2
P03,7,1,159200000,2
P03,8,500001,116200000,2
P03,8,116200001,140800000,3
P03,8,140800001,145000000,2
P03,9,200001,138100000,2
P03,10,100001,133600000,2
P03,11,200001,900000,2
P03,11,900001,5500000,3
P03,11,5500001,135086622,2
P03,12,100001,133275309,2
P03,13,18900001,114364328,2
P03,14,20000001,106900000,2
P03,15,22800001,101800000,2
P03,16,1,90100000,2
P03,17,200001,83200000,2
P03,18,200001,80300000,2
P03,19,300001,17400000,2
P03,19,17400001,19800000,3
P03,19,19900001,48400000,2
P03,19,48400001,58600000,3
P03,20,1,18100000,3
P03,20,18100001,64300000,2
P03,21,10200001,46700000,2
P03,22,16900001,50700000,2
P04,1,900001,6300000,3
P04,1,6300001,6900000,2
P04,1,6900001,25500000,3
P04,1,25500001,29200000,2
P04,1,29200001,31300000,3
P04,1,31300001,32900000,2
P04,1,32900001,37600000,3
P04,1,37600001,40600000,2
P04,1,40600001,115600000,3
P04,1,115600001,154600000,4
P04,1,154600001,156000000,3
P04,1,156000001,179000000,4
P04,1,179000001,180400000,3
P04,1,180400001,223800000,4
P04,1,223800001,224500000,3
P04,1,224500001,248800000,4
P04,1,248800001,248900000,3
P04,2,1,31900000,3
P04,2,31900001,32800000,2
P04,2,32800001,242100000,3
P04,3,100001,198100000,3
P04,4,100001,3900000,3
P04,4,4200001,16400000,4
P04,4,16400001,189500000,3
P04,5,100001,400000,3
P04,5,400001,12000000,4
P04,5,12000001,32500000,3
P04,5,32500001,35000000,4
P04,5,35000001,64700000,3
P04,5,64700001,68200000,4
P04,5,68200001,96600000,3
P04,5,96600001,115600000,4
P04,5,115600001,125400000,3
P04,5,125400001,130000000,4
P04,5,130000001,143200000,3
P04,5,143200001,173400000,4
P04,5,173400001,181300000,3
P04,6,400001,2000000,3
P04,6,2000001,11500000,4
P04,6,11500001,25000000,3
P04,6,25000001,33600000,4
P04,6,33600001,149500000,3
P04,6,149500001,152200000,2
P04,6,152200001,170600000,3
P04,7,1,20800000,3
P04,7,20800001,23700000,2
P04,7,23700001,159200000,3
P04,8,500001,132400000,3
P04,8,132400001,140400000,4
P04,8,140400001,145000000,3
P04,9,200001,33900000,3
P04,9,33900001,34300000,2
P04,9,34300001,138100000,3
P04,10,100001,67800000,3
P04,10,67800001,69100000,2
P04,10,69100001,133600000,3
P04,11,200001,900000,3
P04,11,900001,6800000,4
P04,11,6800001,70000000,3
P04,11,70000001,72100000,4
P04,11,72100001,113600000,3
P04,11,113600001,129900000,4
P04,11,129900001,135086622,3
P04,12,100001,42800000,3
P04,12,42800001,47700000,4
P04,12,47700001,126700000,3
P04,12,126700001,132000000,4
P04,12,132000001,133275309,3
P04,13,18900001,114364328,3
P04,14,20000001,22500000,3
P04,14,22500001,26000000,4
P04,14,26000001,56700000,3
P04,14,56700001,58100000,4
P04,14,58100001,106900000,3
P04,15,22800001,31000000,3
P04,15,31000001,43500000,2
P04,15,43800001,50300000,3
P04,15,50300001,62600000,2
P04,15,62600001,101800000,3
P04,16,1,17300000,3
P04,16,17300001,24300000,4
P04,16,24300001,90100000,3
P04,17,200001,83200000,3
P04,18,200001,35600000,3
P04,18,35600001,37200000,4
P04,18,37200001,80200000,3
P04,18,80200001,80300000,4
P04,19,300001,700000,4
P04,19,700001,15100000,3
P04,19,15100001,16400000,4
P04,19,16400001,37700000,3
P04,19,37700001,58600000,4
P04,20,1,4100000,4
P04,20,4100001,11700000,3
P04,20,11700001,31600000,4
P04,20,31600001,32900000,3
P04,20,32900001,33300000,4
P04,20,33300001,45800000,3
P04,20,45800001,48900000,4
P04,20,48900001,55800000,3
P04,20,55800001,64300000,4
P04,21,10200001,16800000,4
P04,21,16800001,39700000,3
P04,21,39700001,41800000,4
P04,21,41800001,46700000,3
P04,22,16900001,42800000,3
P04,22,42800001,50700000,2
P05,1,900001,30100000,2
P05,1,30100001,31300000,3
P05,1,31300001,50400000,2
P05,1,50400001,60600000,3
P05,1,60600001,248900000,2
P05,2,1,105300000,2
P05,2,105300001,186500000,3
P05,2,186500001,242100000,2
P05,3,100001,198100000,2
P05,4,100001,189500000,2
P05,5,100001,181300000,2
P05,6,400001,8800000,2
P05,6,8800001,45900000,3
P05,6,45900001,170600000,2
P05,7,1,135900000,2
P05,7,135900001,150900000,3
P05,7,150900001,159200000,2
P05,8,500001,67500000,2
P05,8,67600001,71100000,3
P05,8,71100001,73500000,4
P05,8,73500001,83700000,3
P05,8,83700001,105200000,2
P05,8,105200001,142900000,3
P05,8,142900001,145000000,2
P05,9,200001,138100000,2
P05,10,100001,133600000,2
P05,11,200001,135086622,2
P05,12,100001,133275309,2
P05,13,18900001,68700000,2
P05,13,68700001,114364328,1
P05,14,20000001,33500000,1
P05,14,33500001,106900000,2
P05,15,22800001,101800000,2
P05,16,1,90100000,2
P05,17,200001,70000000,2
P05,17,70000001,83200000,3
P05,18,200001,1000000,3
P05,18,1000001,80300000,2
P05,19,300001,700000,3
P05,19,700001,36200000,2
P05,19,36300001,49900000,3
P05,19,49900001,58600000,2
P05,20,1,16900000,2
P05,20,16900001,32900000,3
P05,20,32900001,64300000,2
P05,21,10200001,46700000,2
P05,22,16900001,24600000,2
P05,22,24700001,41700000,3
P05,22,41700001,50700000,2
P06,1,900001,4800000,5
P06,1,4800001,26900000,4
P06,1,26900001,29200000,3
P06,1,29200001,31200000,4
P06,1,31200001,32900000,3
P06,1,32900001,34900000,4
P06,1,34900001,36400000,3
P06,1,36400001,50500000,4
P06,1,50500001,53200000,3
P06,1,53200001,57100000,4
P06,1,57100001,60300000,5
P06,1,60300001,116500000,4
P06,1,116500001,147600000,5
P06,1,147600001,157300000,4
P06,1,157300001,163500000,5
P06,1,163500001,168900000,4
P06,1,168900001,173500000,5
P06,1,173500001,175900000,4
P06,1,175900001,178000000,5
P06,1,178000001,226000000,4
P06,1,226000001,228000000,3
P06,1,228000001,235100000,4
P06,1,235100001,236200000,3
P06,1,236200001,248900000,4
P06,2,1,600000,4
P06,2,700001,2500000,5
P06,2,2500001,4200000,6
P06,2,4200001,30900000,5
P06,2,30900001,32100000,6
P06,2,32100001,37300000,5
P06,2,37300001,45400000,4
P06,2,45400001,48700000,5
P06,2,48700001,49700000,6
P06,2,49700001,54200000,5
P06,2,54200001,55700000,4
P06,2,55700001,61000000,5
P06,2,61000001,62900000,4
P06,2,62900001,67900000,5
P06,2,68000001,116500000,4
P06,2,116500001,118800000,5
P06,2,118800001,145900000,4
P06,2,145900001,206700000,3
P06,2,206700001,207400000,4
P06,2,207400001,230000000,3
P06,2,230000001,242100000,4
P06,3,100001,17200000,4
P06,3,17200001,19800000,5
P06,3,19800001,43400000,4
P06,3,43400001,44000000,5
P06,3,44000001,47500000,4
P06,3,47500001,50200000,3
P06,3,50200001,157900000,4
P06,3,157900001,159800000,5
P06,3,159800001,186900000,4
P06,3,186900001,187700000,5
P06,3,187700001,197600000,4
P06,3,197700001,198100000,3
P06,4,100001,1600000,3
P06,4,1600001,3900000,4
P06,4,4200001,5000000,5
P06,4,5000001,5600000,6
P06,4,5600001,5700000,5
P06,4,5700001,30600000,4
P06,4,30600001,41000000,3
P06,4,41100001,47200000,4
P06,4,47200001,72700000,3
P06,4,72700001,79700000,4
P06,4,79700001,189300000,3
P06,4,189300001,189500000,4
P06,5,100001,500000,4
P06,5,500001,1200000,6
P06,5,1200001,2100000,5
P06,5,2100001,32500000,4
P06,5,32500001,35500000,5
P06,5,35500001,36800000,4
P06,5,36800001,37500000,3
P06,5,37500001,39400000,4
P06,5,39400001,42100000,5
P06,5,42100001,52800000,4
P06,5,52800001,59800000,3
P06,5,59800001,69000000,4
P06,5,69000001,75900000,3
P06,5,75900001,131000000,4
P06,5,131100001,135700000,3
P06,5,135800001,137800000,4
P06,5,137800001,143000000,3
P06,5,143000001,181300000,4
P06,6,400001,4800000,4
P06,6,4800001,8400000,5
P06,6,8400001,18700000,4
P06,6,18700001,19700000,5
P06,6,19700001,29100000,4
P06,6,29100001,33400000,5
P06,6,33400001,71600000,4
P06,6,71600001,73700000,3
P06,6,73700001,76000000,4
P06,6,76000001,85700000,5
P06,6,85700001,88200000,4
P06,6,88200001,88800000,5
P06,6,88800001,110700000,4
P06,6,110700001,113600000,3
P06,6,113600001,170600000,4
P06,7,1,5500000,4
P06,7,5500001,6700000,3
P06,7,7000001,31900000,4
P06,7,31900001,35900000,5
P06,7,36000001,56300000,4
P06,7,64600001,72200000,3
P06,7,72200001,84900000,4
P06,7,84900001,90900000,5
P06,7,90900001,105100000,4
P06,7,105100001,105500000,3
P06,7,105500001,128300000,4
P06,7,128300001,135700000,3
P06,7,135700001,152600000,4
P06,7,152600001,154700000,5
P06,7,154700001,159200000,4
P06,8,500001,11400000,4
P06,8,11400001,24900000,3
P06,8,24900001,26700000,4
P06,8,26700001,33000000,3
P06,8,33100001,66500000,4
P06,8,66500001,67400000,3
P06,8,67400001,94400000,4
P06,8,94400001,95100000,3
P06,8,95100001,131200000,4
P06,8,131300001,140400000,5
P06,8,140400001,143600000,4
P06,8,143600001,145000000,3
P06,9,200001,27200000,3
P06,9,27200001,35100000,4
P06,9,35100001,38500000,3
P06,9,38600001,92900000,4
P06,9,92900001,96800000,3
P06,9,96800001,124400000,4
P06,9,124400001,126000000,3
P06,9,126000001,138100000,4
P06,10,100001,24400000,4
P06,10,24400001,25100000,3
P06,10,25100001,55300000,4
P06,10,55300001,64400000,3
P06,10,64400001,67600000,4
P06,10,67600001,81100000,3
P06,10,81100001,89900000,4
P06,10,89900001,106500000,3
P06,10,106500001,119200000,4
P06,10,119200001,121500000,3
P06,10,121500001,133600000,4
P06,11,200001,900000,4
P06,11,900001,1500000,5
P06,11,1500001,4800000,4
P06,11,4800001,7500000,5
P06,11,7500001,18700000,4
P06,11,18700001,19700000,5
P06,11,19700001,25000000,4
P06,11,25000001,28600000,5
P06,11,28600001,64300000,4
P06,11,64300001,66600000,3
P06,11,66600001,107500000,4
P06,11,107500001,108700000,3
P06,11,108700001,128200000,4
P06,11,128200001,135086622,5
P06,12,100001,200000,5
P06,12,200001,7000000,4
P06,12,7000001,33800000,3
P06,12,33800001,46000000,4
P06,12,46000001,47600000,5
P06,12,47600001,49500000,4
P06,12,49500001,51800000,3
P06,12,51800001,53900000,4
P06,12,54000001,55900000,5
P06,12,55900001,98400000,4
P06,12,98400001,98800000,3
P06,12,98800001,118500000,4
P06,12,118500001,119600000,5
P06,12,119600001,121300000,4
P06,12,121300001,123700000,3
P06,12,123700001,126100000,4
P06,12,126100001,132200000,5
P06,12,132200001,133275309,4
P06,13,18900001,21500000,3
P06,13,21500001,29400000,4
P06,13,29400001,41900000,3
P06,13,41900001,48600000,4
P06,13,48600001,56900000,3
P06,13,56900001,69800000,4
P06,13,69800001,73300000,3
P06,13,73300001,114364328,4
P06,14,20000001,20700000,4
P06,14,20700001,22100000,5
P06,14,22100001,24000000,4
P06,14,24000001,27700000,5
P06,14,27900001,30700000,4
P06,14,30700001,34400000,3
P06,14,34400001,48300000,4
P06,14,48300001,51200000,3
P06,14,51200001,53900000,4
P06,14,53900001,55800000,3
P06,14,55800001,58100000,4
P06,14,58100001,59200000,3
P06,14,59200001,61200000,4
P06,14,61200001,105600000,3
P06,14,105600001,106900000,4
P06,15,22800001,42400000,4
P06,15,42400001,45700000,3
P06,15,45700001,49200000,4
P06,15,49200001,51700000,3
P06,15,51700001,57300000,4
P06,15,57300001,67000000,3
P06,15,67100001,80900000,4
P06,15,80900001,81900000,5
P06,15,81900001,85800000,4
P06,15,85800001,87900000,5
P06,15,87900001,101800000,4
P06,16,1,90100000,4
P06,17,200001,900000,4
P06,17,900001,40300000,3
P06,17,40300001,57800000,4
P06,17,57800001,66100000,3
P06,17,66100001,82100000,4
P06,17,82100001,83200000,3
P06,18,200001,900000,3
P06,18,900001,11400000,4
P06,18,11400001,13800000,3
P06,18,13800001,80300000,4
P06,19,300001,700000,5
P06,19,700001,1200000,4
P06,19,1200001,15100000,3
P06,19,15100001,15200000,4
P06,19,15200001,15500000,5
P06,19,15500001,18000000,4
P06,19,18000001,18100000,5
P06,19,18100001,18200000,13
P06,19,18200001,18600000,17
P06,19,18600001,18700000,15
P06,19,18700001,19600000,14
P06,19,19600001,20000000,13
P06,19,20000001,20100000,9
P06,19,20800001,29500000,6
P06,19,29500001,36100000,5
P06,19,36100001,37900000,4
P06,19,37900001,57600000,5
P06,19,57600001,58600000,4
P06,20,1,18600000,4
P06,20,18600001,19000000,5
P06,20,19000001,23000000,4
P06,20,23000001,24000000,5
P06,20,24100001,36800000,4
P06,20,36800001,37200000,3
P06,20,37200001,37400000,4
P06,20,37400001,42100000,5
P06,20,42100001,43400000,6
P06,20,43400001,47300000,5
P06,20,47300001,47700000,4
P06,20,47700001,47800000,5
P06,20,47900001,49000000,6
P06,20,49000001,62700000,5
P06,20,62700001,64300000,4
P06,21,10200001,46700000,4
P06,22,16900001,33100000,4
P06,22,33100001,35600000,5
P06,22,35600001,39900000,4
P06,22,39900001,41200000,3
P06,22,41200001,49800000,4
P06,22,49800001,49900000,3
P06,22,49900001,50700000,2
P07,1,900001,248900000,1
P07,2,1,242100000,1
P07,3,100001,198100000,1
P07,4,100001,189500000,1
P07,5,100001,181300000,1
P07,6,400001,170600000,1
P07,7,1,159200000,1
P07,8,500001,145000000,1
P07,9,200001,138100000,1
P07,10,100001,133600000,1
P07,11,200001,43200000,1
P07,11,43200001,69200000,2
P07,11,69200001,69300000,9
P07,11,69300001,69600000,23
P07,11,69600001,69900000,36
P07,11,69900001,112500000,45
P07,11,112500001,113000000,58
P07,11,113000001,129600000,2
P07,11,129600001,135086622,1
P07,12,100001,133275309,1
P07,13,18900001,114364328,1
P07,14,20000001,106900000,1
P07,15,22800001,101800000,1
P07,16,1,90100000,1
P07,17,200001,83200000,1
P07,18,200001,80300000,1
P07,19,300001,58600000,1
P07,20,1,64300000,1
P07,21,10200001,46700000,1
P07,22,16900001,50700000,1
P08,1,900001,118100000,2
P08,1,118100001,150800000,3
P08,1,150800001,152700000,4
P08,1,152700001,154700000,5
P08,1,154700001,167500000,4
P08,1,167500001,173300000,5
P08,1,173300001,176900000,4
P08,1,176900001,177500000,5
P08,1,177500001,178000000,3
P08,1,178000001,248900000,2
P08,2,1,242100000,2
P08,3,100001,198100000,2
P08,4,100001,5000000,2
P08,4,5000001,5700000,3
P08,4,5700001,189500000,2
P08,5,100001,181300000,2
P08,6,400001,170600000,2
P08,7,1,159200000,2
P08,8,500001,145000000,2
P08,9,200001,138000000,2
P08,9,138000001,138100000,3
P08,10,100001,16200000,3
P08,10,16200001,133600000,2
P08,11,200001,67700000,2
P08,11,68000001,68600000,7
P08,11,68600001,68700000,9
P08,11,68700001,68800000,10
P08,11,68800001,69000000,11
P08,11,69000001,69500000,13
P08,11,69500001,69600000,11
P08,11,69600001,69700000,8
P08,11,69700001,77000000,5
P08,11,77000001,79200000,4
P08,11,79200001,135086622,2
P08,12,100001,133275309,2
P08,13,18900001,114364328,2
P08,14,20000001,106900000,2
P08,15,22800001,101800000,2
P08,16,1,90100000,2
P08,17,200001,83200000,2
P08,18,200001,80300000,2
P08,19,300001,3500000,3
P08,19,3500001,58600000,2
P08,20,1,42800000,2
P08,20,42800001,54700000,3
P08,20,54700001,64300000,2
P08,21,10200001,46700000,2
P08,22,16900001,50700000,2
P09,1,900001,4100000,4
P09,1,4100001,20700000,3
P09,1,20700001,21200000,2
P09,1,21200001,115600000,3
P09,1,115600001,152400000,4
P09,1,152400001,153500000,5
P09,1,153500001,159500000,4
P09,1,159500001,160900000,5
P09,1,160900001,165400000,4
P09,1,165400001,166400000,5
P09,1,166400001,175800000,4
P09,1,175800001,178000000,5
P09,1,178000001,223900000,4
P09,1,224000001,228000000,3
P09,1,228000001,245900000,4
P09,1,245900001,248900000,3
P09,2,1,115100000,3
P09,2,115100001,118800000,4
P09,2,118800001,215400000,3
P09,2,215400001,242100000,2
P09,3,100001,157600000,3
P09,3,157600001,159700000,4
P09,3,159700001,196300000,3
P09,3,196300001,198100000,2
P09,4,100001,1100000,2
P09,4,1100001,5000000,3
P09,4,5000001,5700000,4
P09,4,5700001,34900000,3
P09,4,34900001,189500000,2
P09,5,100001,32300000,2
P09,5,32300001,32500000,3
P09,5,32500001,33900000,5
P09,5,33900001,35800000,4
P09,5,35800001,178200000,3
P09,5,178200001,181300000,2
P09,6,400001,700000,2
P09,6,700001,4600000,3
P09,6,4600001,6400000,4
P09,6,6400001,47000000,3
P09,6,47000001,55000000,4
P09,6,55000001,57300000,3
P09,6,60600001,71900000,4
P09,6,71900001,75900000,5
P09,6,75900001,79400000,6
P09,6,79400001,84600000,3
P09,6,84600001,170600000,2
P09,7,1,2200000,2
P09,7,2200001,142300000,3
P09,7,142300001,147400000,4
P09,7,147400001,158600000,3
P09,7,158600001,159200000,2
P09,8,500001,36400000,2
P09,8,36400001,36500000,5
P09,8,36500001,42400000,6
P09,8,42400001,46600000,5
P09,8,46600001,48000000,6
P09,8,48000001,56200000,5
P09,8,56200001,57300000,6
P09,8,57300001,60600000,5
P09,8,60600001,64400000,6
P09,8,64400001,66000000,5
P09,8,66000001,67100000,4
P09,8,67100001,71100000,5
P09,8,71100001,73200000,6
P09,8,73200001,78300000,5
P09,8,78300001,82300000,6
P09,8,82300001,87000000,5
P09,8,87000001,89500000,6
P09,8,89600001,94400000,5
P09,8,94400001,95200000,4
P09,8,95200001,96200000,5
P09,8,96200001,97600000,6
P09,8,97600001,101500000,5
P09,8,101500001,101900000,7
P09,8,101900001,102000000,6
P09,8,102000001,108900000,5
P09,8,108900001,114900000,6
P09,8,114900001,117800000,5
P09,8,117800001,120800000,6
P09,8,120800001,123300000,5
P09,8,123300001,128700000,6
P09,8,128800001,131000000,5
P09,8,131000001,139600000,6
P09,8,139600001,144400000,5
P09,8,144400001,145000000,4
P09,9,200001,138100000,2
P09,10,100001,2700000,2
P09,10,2700001,60400000,3
P09,10,60400001,133600000,2
P09,11,200001,1000000,2
P09,11,1000001,129400000,3
P09,11,129400001,131600000,4
P09,11,131600001,134700000,3
P09,11,134700001,135086622,2
P09,12,100001,43400000,2
P09,12,43400001,53800000,3
P09,12,53800001,53900000,4
P09,12,54000001,55100000,6
P09,12,55100001,59100000,4
P09,12,59100001,104700000,3
P09,12,104700001,107100000,4
P09,12,107100001,125800000,3
P09,12,125800001,131800000,4
P09,12,131800001,132900000,3
P09,12,132900001,133275309,2
P09,13,18900001,61600000,2
P09,13,61600001,114200000,3
P09,13,114200001,114364328,2
P09,14,20000001,105500000,2
P09,14,105500001,106900000,3
P09,15,22800001,99000000,3
P09,15,99000001,101800000,2
P09,16,1,20700000,2
P09,16,20800001,47200000,3
P09,16,47200001,47700000,4
P09,16,47700001,48100000,5
P09,16,48100001,48300000,4
P09,16,48300001,64100000,3
P09,16,64100001,68300000,4
P09,16,68300001,90100000,3
P09,17,200001,21400000,2
P09,17,22600001,38600000,3
P09,17,38600001,42000000,4
P09,17,42000001,52900000,3
P09,17,52900001,57200000,4
P09,17,57200001,69400000,3
P09,17,69400001,79700000,4
P09,17,79700001,83200000,3
P09,18,200001,80300000,3
P09,19,300001,1100000,3
P09,19,1100001,16500000,2
P09,19,16500001,27700000,3
P09,19,27800001,29000000,4
P09,19,29000001,58600000,3
P09,20,1,200000,3
P09,20,200001,4000000,2
P09,20,4000001,13300000,3
P09,20,13300001,19100000,4
P09,20,19100001,24200000,3
P09,20,24200001,47700000,4
P09,20,47700001,48900000,5
P09,20,48900001,62700000,4
P09,20,62700001,64300000,3
P09,21,10200001,33700000,3
P09,21,33700001,39500000,2
P09,21,39500001,46700000,3
P09,22,16900001,20300000,6
P09,22,20400001,21900000,7
P09,22,21900001,22100000,8
